I0605 16:34:26.034101       1 main.go:164] Version: v2.3.0
I0605 16:34:26.034141       1 main.go:165] Running node-driver-registrar in mode=registration
I0605 16:34:26.034517       1 main.go:189] Attempting to open a gRPC connection with: "/plugin/csi.sock"
I0605 16:34:26.034545       1 connection.go:154] Connecting to unix:///plugin/csi.sock
W0605 16:34:36.035153       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:34:46.034873       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:34:56.035628       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:35:06.035042       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:35:16.035115       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:35:26.035444       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:35:36.035552       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:35:46.035611       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:35:56.035334       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:36:06.034623       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:36:16.035001       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:36:26.035169       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:36:36.034774       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:36:46.035480       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:36:56.035594       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:37:06.035610       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:37:16.034586       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:37:26.035186       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:37:36.035463       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:37:46.035105       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:37:56.035398       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:38:06.035579       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:38:16.035455       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:38:26.035202       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:38:36.035497       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:38:46.034933       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:38:56.035602       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:39:06.035564       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:39:16.035420       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:39:26.035608       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:39:36.035529       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:39:46.034589       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:39:56.034896       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:40:06.034622       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:40:16.034854       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:40:26.035074       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:40:36.035201       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:40:46.035380       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:40:56.034954       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:41:06.035118       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:41:16.035574       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:41:26.035310       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:41:36.035199       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:41:46.034859       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:41:56.034590       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:42:06.035203       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:42:16.034611       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:42:26.034930       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:42:36.035479       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:42:46.035584       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:42:56.035225       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:43:06.034768       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:43:16.035094       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:43:26.035601       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:43:36.034828       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:43:46.035280       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:43:56.035063       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:44:06.035141       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:44:16.034944       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:44:26.035375       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:44:36.034941       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:44:46.034972       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:44:56.034702       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:45:06.034573       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:45:16.035610       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:45:26.035127       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:45:36.035424       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:45:46.035535       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:45:56.035360       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:46:06.035548       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:46:16.035379       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:46:26.035219       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:46:36.034604       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:46:46.034725       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:46:56.035577       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:47:06.035585       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:47:16.035303       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:47:26.034822       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:47:36.035042       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:47:46.035615       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:47:56.034952       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:48:06.034704       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:48:16.035468       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:48:26.035455       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:48:36.034883       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:48:46.035306       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:48:56.035393       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:49:06.034949       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:49:16.035260       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:49:26.035620       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:49:36.035481       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:49:46.034776       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:49:56.035455       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:50:06.035128       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:50:16.035612       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:50:26.034799       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:50:36.035379       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:50:46.035098       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:50:56.034600       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:51:06.035612       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:51:16.035529       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:51:26.035404       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:51:36.035287       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:51:46.035090       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:51:56.034596       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:52:06.034940       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:52:16.035448       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:52:26.035584       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:52:36.035222       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:52:46.035603       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:52:56.035593       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:53:06.035611       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:53:16.035612       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:53:26.035446       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:53:36.034754       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:53:46.035298       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:53:56.034599       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:54:06.035623       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:54:16.035055       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:54:26.035231       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:54:36.035078       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:54:46.035586       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:54:56.035185       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:55:06.035026       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:55:16.035394       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:55:26.035200       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:55:36.034618       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:55:46.034976       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:55:56.034748       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:56:06.035606       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:56:16.035330       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:56:26.034746       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:56:36.034788       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:56:46.035442       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:56:56.035442       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:57:06.035089       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:57:16.035023       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
W0605 16:57:26.035576       1 connection.go:173] Still connecting to unix:///plugin/csi.sock
